# C1_time_[h],C1_mass_[g],C2_time_[h],C2_mass_[g],C3_time_[h],C3_mass_[g],C4_time_[h],C4_mass_[g],C5_time_[h],C5_mass_[g]
0,0,0,0,0,0,0,0,0,0
0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0
0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0
0.25,0.00516823335872959,0.25,0,0.25,0,0.25,0,0.25,0
0.333333333333333,0.0377251688328236,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0
0.416666666666667,0.111785455591318,0.416666666666667,0,0.416666666666667,0,0.416666666666667,0.101041784525419,0.416666666666667,0
0.5,0.187595217127886,0.5,0,0.5,0,0.5,0.179896258792032,0.5,0.211448475222289
0.583333333333333,0.249450716238915,0.583333333333333,0.268437653455299,0.583333333333333,0.213804037361647,0.583333333333333,0.242227221298552,0.583333333333333,0.272822833065071
0.666666666666667,0.309048895455864,0.666666666666667,0.335733257736791,0.666666666666667,0.277649459167384,0.666666666666667,0.304921389456024,0.666666666666667,0.327435867923944
0.75,0.37772543764763,0.75,0.398327196452096,0.75,0.328555855627633,0.75,0.358213135889351,0.75,0.393285870967123
0.833333333333333,0.414758686746783,0.833333333333333,0.448796297579407,0.833333333333333,0.390455767914575,0.833333333333333,0.415596245330548,0.833333333333333,0.446724813551089
0.916666666666667,0.470966346854174,0.916666666666667,0.497399305286621,0.916666666666667,0.448986495992198,0.916666666666667,0.475976890814021,0.916666666666667,0.518251475928478
1,0.525904692220297,1,0.560297783517906,1,0.523562422355215,1,0.545324029226487,1,0.578757859370895
1.08333333333333,0.590763983492489,1.08333333333333,0.628060156116062,1.08333333333333,0.578749060184316,1.08333333333333,0.612483066593809,1.08333333333333,0.681626501041891
1.16666666666667,0.672477749761876,1.16666666666667,0.70811105341597,1.16666666666667,0.684328784534913,1.16666666666667,0.714253091559457,1.16666666666667,0.747805244595902
1.25,0.72583290180486,1.25,0.785184422524931,1.25,0.745861018304882,1.25,0.762404020098935,1.25,0.806771397487253
1.33333333333333,0.82502864581333,1.33333333333333,0.844589255700343,1.33333333333333,0.819366949118296,1.33333333333333,0.827743168455616,1.33333333333333,0.892553622370896
1.41666666666667,0.897657196014758,1.41666666666667,0.934067674117356,1.41666666666667,0.879990162156977,1.41666666666667,0.903189036006668,1.41666666666667,0.956799400667978
1.5,0.980964204745812,1.5,1.0127262230802,1.5,0.966759410608567,1.5,0.982949259440201,1.5,1.02761419449936
1.58333333333333,1.05030722896946,1.58333333333333,1.07897423972395,1.58333333333333,1.03942681887333,1.58333333333333,1.04628354614906,1.58333333333333,1.10299956754503
1.66666666666667,1.12573756391705,1.66666666666667,1.14100574988575,1.66666666666667,1.11064786279063,1.66666666666667,1.11972773281765,1.66666666666667,1.1691091568884
1.75,1.18024635716209,1.75,1.20527409967945,1.75,1.1801143567516,1.75,1.19485094362144,1.75,1.21966350824202
1.83333333333333,1.23332455274918,1.83333333333333,1.26211755680429,1.83333333333333,1.23609550552551,1.83333333333333,1.25073744210282,1.83333333333333,1.28635770375528
1.91666666666667,1.30928526887779,1.91666666666667,1.32734442206624,1.91666666666667,1.29930746358947,1.91666666666667,1.3088163982094,1.91666666666667,1.35231480599003
2,1.37161279642806,2,1.39039153935529,2,1.37294402912104,2,1.37028630670693,2,1.42052103868953
2.08333333333333,1.43839238337936,2.08333333333333,1.46862650755813,2.08333333333333,1.43377484313214,2.08333333333333,1.43831475681274,2.08333333333333,1.4843664245475
2.16666666666667,1.4927070520992,2.16666666666667,1.53179367099745,2.16666666666667,1.50633244019676,2.16666666666667,1.50654523756472,2.16666666666667,1.54757854309901
2.25,1.5499621962228,2.25,1.57616961126589,2.25,1.56527971455757,2.25,1.56180877958158,2.25,1.60598960985126
2.33333333333333,1.60419995370167,2.33333333333333,1.646865099476,2.33333333333333,1.63399841256911,2.33333333333333,1.61809531939286,2.33333333333333,1.66738661045514
2.41666666666667,1.6593102569,2.41666666666667,1.71112788091307,2.41666666666667,1.69250219102612,2.41666666666667,1.68806091968766,2.41666666666667,1.73604076088613
2.5,1.74742668805951,2.5,1.7655350071036,2.5,1.76110218725345,2.5,1.74862573718333,2.5,1.79234457741142
2.58333333333333,1.81034765429561,2.58333333333333,1.83929554598673,2.58333333333333,1.81995544205891,2.58333333333333,1.80522972415291,2.58333333333333,1.84812677058958
2.66666666666667,1.86016898921794,2.66666666666667,1.89830789016248,2.66666666666667,1.87755807138633,2.66666666666667,1.86499181283836,2.66666666666667,1.91266552510089
2.75,1.92007564473524,2.75,1.95678386710277,2.75,1.93572942825866,2.75,1.92007360313777,2.75,1.95700743404296
2.83333333333333,1.96732329327226,2.83333333333333,2.00763259778675,2.83333333333333,1.99068642674873,2.83333333333333,1.96837748974224,2.83333333333333,2.01690087237774
2.91666666666667,2.02435296821904,2.91666666666667,2.05166343549169,2.91666666666667,2.03839633273432,2.91666666666667,2.01950157986599,2.91666666666667,2.07751833202418
3,2.06568842485738,3,2.122029506707,3,2.11126367906128,3,2.09240280670476,3,2.12954491479711
3.08333333333333,2.12514846056345,3.08333333333333,2.16707661207726,3.08333333333333,2.1620169896647,3.08333333333333,2.13021870401566,3.08333333333333,2.16622618701551
3.16666666666667,2.17679434631406,3.16666666666667,2.21876342065953,3.16666666666667,2.20429795037791,3.16666666666667,2.18280763998979,3.16666666666667,2.2161339371018
3.25,2.20404441258882,3.25,2.26621928322677,3.25,2.24996521275522,3.25,2.22503752416557,3.25,2.26560722456554
3.33333333333333,2.25268006019983,3.33333333333333,2.30785318433191,3.33333333333333,2.30450982080239,3.33333333333333,2.27294181337829,3.33333333333333,2.32515260193806
3.41666666666667,2.30378041675882,3.41666666666667,2.35585208527965,3.41666666666667,2.35958220580006,3.41666666666667,2.32377916050556,3.41666666666667,2.37575340187254
3.5,2.33660479576414,3.5,2.4130178749025,3.5,2.41173884707924,3.5,2.37879706012461,3.5,2.44628310892003
3.58333333333333,2.38650372906037,3.58333333333333,2.46686404739416,3.58333333333333,2.46515182040025,3.58333333333333,2.42649314614828,3.58333333333333,2.50334690296999
3.66666666666667,2.43676520264163,3.66666666666667,2.51691767750216,3.66666666666667,2.52551775178103,3.66666666666667,2.48978767885127,3.66666666666667,2.5406434875048
3.75,2.49580263658249,3.75,2.59132291829703,3.75,2.58872144148866,3.75,2.54762033697671,3.75,2.59757599884714
3.83333333333333,2.53980974997357,3.83333333333333,2.64062265331329,3.83333333333333,2.63883913755713,3.83333333333333,2.59365070285507,3.83333333333333,2.63191716155695
3.91666666666667,2.59840224471687,3.91666666666667,2.6898714688046,3.91666666666667,2.68376755795905,3.91666666666667,2.64757964632062,3.91666666666667,2.60479684517846
4,2.63835193621095,4,2.74284945471646,4,2.742734692972,4,2.69823104885752,4,2.58800900509536
4.08333333333333,2.68745150228568,4.08333333333333,2.78993770907142,4.08333333333333,2.79379436058751,4.08333333333333,2.74740986529764,4.08333333333333,2.60247581777856
4.16666666666667,2.73808552174616,4.16666666666667,2.75069423307947,4.16666666666667,2.80278445798903,4.16666666666667,2.80758474481472,4.16666666666667,2.61299341216448
4.25,2.78193898456586,4.25,2.69945422393475,4.25,2.73772519114348,4.25,2.78369414278774,4.25,2.60446915497748
4.33333333333333,2.73420977173042,4.33333333333333,2.7296520080313,4.33333333333333,2.72126865872038,4.33333333333333,2.70678001565192,4.33333333333333,2.59385131394354
4.41666666666667,2.70852351040058,4.41666666666667,2.76435782603391,4.41666666666667,2.73034898883371,4.41666666666667,2.68636048928085,4.41666666666667,2.53323707205314
4.5,2.74679909300594,4.5,2.79210876375875,4.5,2.72891116823908,4.5,2.69545314244229,4.5,2.53944034740629
4.58333333333333,2.73884180111771,4.58333333333333,2.75522686156866,4.58333333333333,2.75004574662349,4.58333333333333,2.74031992695511,4.58333333333333,2.55168039105156
4.66666666666667,2.68640442026619,4.66666666666667,2.74250129312287,4.66666666666667,2.78491040697395,4.66666666666667,2.752732040811,4.66666666666667,2.52416078907062
4.75,2.65024525208728,4.75,2.74931070293156,4.75,2.72983696505655,4.75,2.78019250492019,4.75,2.51621058305208
4.83333333333333,2.69086005559139,4.83333333333333,2.75286653973179,4.83333333333333,2.75015445523633,4.83333333333333,2.74349478180835,4.83333333333333,2.5016224222331
4.91666666666667,2.73293789394641,4.91666666666667,2.74150290592063,4.91666666666667,2.72368024290156,4.91666666666667,2.72955802479498,4.91666666666667,2.50239265923857
5,2.69387347033487,5,2.7555552900267,5,2.72072548697295,5,2.70772479836389,5,2.53695741419123
5.08333333333333,2.62398799912979,5.08333333333333,2.73839241425369,5.08333333333333,2.70823898330454,5.08333333333333,2.68109525541851,5.08333333333333,2.54837189199266
5.16666666666667,2.59936658207588,5.16666666666667,2.6991864128456,5.16666666666667,2.66652701067009,5.16666666666667,2.66417276754716,5.16666666666667,2.54675804053862
5.25,2.57818359944416,5.25,2.68578345174665,5.25,2.65693053742824,5.25,2.63970562511004,5.25,2.54198977767971
5.33333333333333,2.55629350907361,5.33333333333333,2.67004271367933,5.33333333333333,2.63191863635295,5.33333333333333,2.62546056011019,5.33333333333333,2.52805079797863
5.41666666666667,2.54786837173061,5.41666666666667,2.65630303336121,5.41666666666667,2.62575194537745,5.41666666666667,2.61744687936317,5.41666666666667,2.52206833559564
5.5,2.52820966860763,5.5,2.6372546493579,5.5,2.60847261263723,5.5,2.58362798106736,5.5,2.51560055567407
5.58333333333333,2.50587810606599,5.58333333333333,2.62194203746654,5.58333333333333,2.59226740123394,5.58333333333333,2.50450162371621,5.58333333333333,2.50389006419066
5.66666666666667,2.48562991488774,5.66666666666667,2.6089302863095,5.66666666666667,2.56961277878813,5.66666666666667,2.4796296523344,6.03333333333333,2.4439088906522
5.75,2.46800296386491,5.75,2.59645064647167,5.75,2.56806950434809,5.75,2.46248775258423,7,2.32782736724803
5.83333333333333,2.46140382392458,5.83333333333333,2.58341328902108,5.83333333333333,2.5420727750595,5.83333333333333,2.44687635398233,8,2.22962229760116
5.91666666666667,2.44828158970883,5.91666666666667,2.57616410548071,5.91666666666667,2.53278150496399,5.91666666666667,2.44915808512107,9,2.14360360651219
6,2.4223609422094,6,2.56347855829498,6,2.52937998996376,6,2.42175252279,10,2.06709738425104
7,2.2820286149021,7,2.41028523813606,7,2.39609497069917,7,2.30752770442342,11,1.98326826143476
8,2.1711187713761,8,2.30379157861349,8,2.30170007106045,8,2.19158465906863,12,1.90554565478295
9,2.07012644020409,9,2.20326746876949,9,2.20014793308791,9,2.10198728508,13,1.84043653067272
10,1.97031248236496,10,2.12926326583292,10,2.12218399975238,10,2.01130280205509,14,1.74638602373584
11,1.86499503985411,11,2.04368458627748,11,2.04981509680186,11,1.92966308873367,15,1.67081462726912
12,1.77551962711202,12,1.95617262990358,12,1.97075666647969,12,1.85183932944095,16,1.58898514940776
13,1.68800858179256,13,1.87407700252326,13,1.88144211370147,13,1.76111670779352,17,1.5071738046325
14,1.58771556008704,14,1.78386869610284,14,1.796626165938,14,1.66165745230856,18,1.42224028148342
15,1.49707390071672,15,1.70218978301335,15,1.71999246601258,15,1.57778969258695,19,1.35603518117718
16,1.41463769003083,16,1.62216444006569,16,1.6323295223113,16,1.48242908408623,20,1.30104605170277
17,1.33328150516866,17,1.5427606983992,17,1.55593266482303,17,1.40766877091854,21,1.23919047133901
18,1.26876401015458,18,1.45890127599867,18,1.47667190667506,18,1.35696460227304,22,1.17890953500227
19,1.2038213484817,19,1.3914286673921,19,1.41973551025146,19,1.27532334353971,23,1.13047955321476
20,1.13724371523226,20,1.34366740176665,20,1.3618992470285,20,1.20967873921549,24,1.0695164332971
21,1.07379447910358,21,1.28907268084165,21,1.30427838451612,21,1.1542122940157,25,1.01057509019882
22,1.00747256304889,22,1.2259647296161,22,1.25590836033955,22,1.0910046957535,26,0.949906318200186
23,0.925123588530675,23,1.17786870718308,23,1.20653051829414,23,0.992582444952152,27,0.894569060538905
24,0.882246268312806,24,1.11811009647906,24,1.15551088920918,24,0.950428069970978,28,0.845987446795463
25,0.819648055545791,25,1.06501747586436,25,1.1085347306719,25,0.899804587826961,29,0.797996794102384
26,0.757454109321565,26,1.00380938109187,26,1.06209610735574,26,0.826514609002353,30,0.754310201279949
27,0.715559933525493,27,0.95216608236421,27,1.01420312118161,27,0.788953194241885,31,0.721539422701365
28,0.667533935164815,28,0.901169421042026,28,0.958642191415263,28,0.749394681252911,32,0.684251479821737
29,0.611287072190299,29,0.860785340268116,29,0.920111668828429,29,0.699985594222607,33,0.653758880935988
30,0.562325757161365,30,0.809089132592091,30,0.875765352367453,30,0.645089303983365,34,0.619554129304655
31,0.536008529865206,31,0.761710863510656,31,0.834177033857562,31,0.620120827297986,35,0.583451737380722
32,0.49842131735309,32,0.733196543475021,32,0.792281385609949,32,0.584890524039245,36,0.551202588594396
33,0.465348342730298,33,0.689540904815679,33,0.757140344350182,33,0.562422909674198,37,0.524584244855548
34,0.440052863390909,34,0.661347953836162,34,0.733066271078755,34,0.533586737421994,38,0.508912814178218
35,0.417179552632875,35,0.626105385757537,35,0.701337591369887,35,0.512261674655934,39,0.488494598987109
36,0.397883597323843,36,0.596982277353039,36,0.669643970410224,36,0.49662148005931,40,0.462060142369578
37,0.378211062979143,37,0.573000623297904,37,0.636823461618836,37,0.470851065384444,41,0.45305295403965
38,0.354921745980074,38,0.536340422253447,38,0.618031455319824,38,0.450881077430612,42,0.434929842954538
39,0.335244786579994,39,0.513742682595233,39,0.582243647238379,39,0.432737320124292,43,0.421900867488708
40,0.315910933160629,40,0.502981237178676,40,0.562998617595473,40,0.420865435134732,44,0.411708066586641
41,0.302672973683093,41,0.485889644617597,41,0.528217425953943,41,0.398799123004562,45,0.396588903589007
42,0.291864619362039,42,0.473571008744257,42,0.514013947708409,42,0.382354971166017,46,0.391375811690367
43,0.282794085412418,43,0.463951102445087,43,0.495259503269624,43,0.368137194907025,47,0.375529721672851
44,0.272684954047559,44,0.450399782222304,44,0.483856345853364,44,0.361278720757474,48,0.367265121769366
45,0.26040128707294,45,0.434304314215625,45,0.467498950634117,45,0.345017676316422,54,0.315747726513679
46,0.254052765848476,46,0.429413038708385,46,0.453233977781572,46,0.334240821523574,60,0.288196344465089
47,0.244487228463809,47,0.416622697175438,47,0.447864794959058,47,0.324969521623017,66,0.272577299847277
48,0.238050430389102,48,0.406651055247371,48,0.431250812615243,48,0.315069837845427,72,0.252855083541849
54,0.209433687666735,54,0.369065245820635,54,0.374848665083271,54,0.268067905753917,78,0.235900108361841
60,0.181814912567298,60,0.335598033476255,60,0.336800842962313,60,0.233023300462645,84,0.228532186635961
66,0.172155525506004,66,0.287594134767663,66,0.308877867070307,66,0.206167151640462,,
72,0.163251273050258,72,0.272029216127323,72,0.281211379487218,72,0.188608897662238,,
78,0.151941723578363,78,0.247044600541165,78,0.263867193294348,78,0.179991627908732,,
84,0.149375071918101,84.0833333333333,0.235031459014986,84,0.248529327494552,84,0.174054340740557,,
